DIGEST	COUNT_STAR	SUM_TIMER_WAIT	SUM_ROWS_EXAMINED	t
44e35cee979ba420eb49a8471f852bbe15b403c89742704817dfbaace0d99dbb	19	8344008000	19	SELECT @@`version_comment` LIMIT ?
df09a1f1c31a9886d7b70170ea0dd7a0ebded599cad613a2e907f404bf5e8f7b	1	2912727000	113	SELECT TABLE_NAME , `INDEX_NAME` , `INDEX_TYPE` , COLUMN_NAME FROM `information_schema` . `STATISTIC
1300d8649e11726bfb24df07081e5fa8ae657821460f857d06c5088cb1f35597	1	40367271000	1	SELECT ( SELECT COUNT ( * ) FROM `QUESTION` ) AS `Q` , ( SELECT COUNT ( * ) FROM `ANSWER` ) AS `A` ,
c20fcea11911be36651b7ca7bd3712d4ed9ac1134cee9c6620039e1fb13b5eff	112	132757617000	112	SELECT @@SESSION . `auto_increment_increment` AS `auto_increment_increment` , @@`character_set_clien
c16f24f908846019a741db580f6545a5933e9435a7cf1579c50794a6ca287739	112	39999090000	112	SELECT @@SESSION . `transaction_read_only`
a724a21545b602d4ae826ae58bbf526427a94f1e68ebec539ec3c53bfaa88281	9	3517311000	9	SELECT @@SESSION . `transaction_isolation`
ba1a1cfbb255ec82e146498171a2b339c0c6d5222efe1ff9234f43aa56577461	9	168899644000	4716	SELECT `WORD` FROM `INFORMATION_SCHEMA` . `KEYWORDS` WHERE `RESERVED` = ? ORDER BY `WORD`
885d633fc9f53bb4ee250bebcc9bdfef462af29ac2633d37264efeba6ed90240	9	5227498000	9	SELECT @@`character_set_database` , @@`sql_mode`
c5967ff0da90e14faf734ee81d89070f01682f51bf2732e0293212cce0cb7756	45	210357959000	1560	SELECT `TABLE_SCHEMA` AS `TABLE_CAT` , ? AS `TABLE_SCHEM` , TABLE_NAME , CASE WHEN `TABLE_TYPE` = ? 
a9971bbbfe401fb5c32b3ec7e966a3160fbf00717bbb24365224a858d422c7bb	9	143197126000	2052	SELECT `TABLE_SCHEMA` , ? , TABLE_NAME , COLUMN_NAME , CASE WHEN `UPPER` ( `DATA_TYPE` ) = ? THEN ? 
5174969c5a636091dfe2326d451fe1e82ba4d2e098c873a0c5e3e9898a0ac60a	27	194248697000	738	SELECT `TABLE_SCHEMA` AS `TABLE_CAT` , ? AS `TABLE_SCHEM` , TABLE_NAME , `NON_UNIQUE` , ? AS `INDEX_
5b294d3ba6e3fe00bae622e86bff74fe27652cea6be07383e97eeedcd9c5894b	36	319114028000	1206	SELECT DISTINCTROW `A` . `REFERENCED_TABLE_SCHEMA` AS `PKTABLE_CAT` , ? AS `PKTABLE_SCHEM` , `A` . `
1f7cd32ae09266bf3ad90eba7eb1ba9b51e8060496ded2895bae85447ab1b2b1	27	72981171000	162	SELECT `TABLE_SCHEMA` AS `TABLE_CAT` , ? AS `TABLE_SCHEM` , TABLE_NAME , CASE WHEN `TABLE_TYPE` = ? 
1deca4fdeefe16ea09283df73587ef49af2e779a3311070c0380f7f145f2eb71	18	21718218000	0	SELECT * FROM `sbb_db` . `QUESTION` WHERE ? = ?
c945b109a7c5563012d134ca58d1c5e6e95fe2ebfea3186c83be48856586b8d3	36	22404397000	0	SELECT * FROM `sbb_db` . `SITE_USER` WHERE ? = ?
6dbac76cf8803e9d18af6e064f7eb4ecc4992ab08217382871f19c0e05df3481	9	45204538000	0	SELECT * FROM `sbb_db` . `ANSWER` WHERE ? = ?
5f54cb74ac99f01b5d483e47bbd73aff8b089cd5f6703e1eb47b771e684860dd	9	47805877000	1336	SELECT `q1_0` . `ID` , `q1_0` . `SUBJECT` , `a1_0` . `USERNAME` , COUNT ( DISTINCTROW `al1_0` . `ID`
447dbcf2478997d3ecd24cf5df491653f21cdd708dc457f90f18c3864372e512	2	1954087000	0	SELECT DISTINCTROW `q` . * FROM `QUESTION` `q` LEFT JOIN `SITE_USER` `u1` ON `q` . `AUTHOR_ID` = `u1
8957e7af9ecba7c883e02e502ada61b53efa1499643a6221045337cd6982ef88	313	2970271993000	4770	SELECT `q1_0` . `ID` , `q1_0` . `AUTHOR_ID` , `q1_0` . `CONTENT` , `q1_0` . `CREATE_DATE` , `q1_0` .
9dad2604805527d7951d6c2e2e0b9aea21e066290d5cbfd5d310f5e0c7cdcf7d	313	10891789779000	0	SELECT COUNT ( `q1_0` . `ID` ) FROM `QUESTION` `q1_0`
55f84d3360692bf34ac8f20daa1e98009e9849ba8689cf0170f06b2e275ebd93	323	82604872760000	2227056	SELECT DISTINCTROW `q` . * FROM `QUESTION` `q` LEFT JOIN `SITE_USER` `u1` ON `q` . `AUTHOR_ID` = `u1
173418e9cab2cd98267bf256e5e6cf57269817b046da6748932bbcce19395871	6375	21571904357000	6378	SELECT `su1_0` . `ID` , `su1_0` . `EMAIL` , `su1_0` . `PASSWORD` , `su1_0` . `USERNAME` FROM `SITE_U
a6e1daf288213c14e47a02dc38c28288711fa5f8bab3e82bf5e1a7e9cccf4cb0	16376	31466707563000	209960	SELECT `al1_0` . `QUESTION_ID` , `al1_0` . `ID` , `al1_0` . `AUTHOR_ID` , `al1_0` . `CONTENT` , `al1
239dfc41ef9a049c164a48fe80503264d315eb1315118e146ebafa4b9c93fef2	2	949575421000	269792	SELECT DISTINCTROW `q` . `ID` , `q` . `CREATE_DATE` FROM `QUESTION` `q` LEFT JOIN `SITE_USER` `u1` O
bcfc7c44df59c1754fb5de822d284c233e5b164acd189d27050dc8029c6b5238	1	190256085000	70000	SELECT ? `kw` , COUNT ( * ) `like_cnt` FROM `QUESTION` WHERE SUBJECT LIKE ? OR `CONTENT` LIKE ? UNIO
